UNITTYPE,DIAM,OWN,BOTNAME,LONGITUDE,LATITUDE
DECID,46,MISS,SILVER MAPLE,-79.6641700314731,43.5290971498557
DECID,42,MISS,LINDEN,-79.6401773709652,43.5291011404196
CONFIR,25,MISS,DOUGLAS FIR,-79.6345960124135,43.5291017830048
DECID,37,MISS,RED OAK,-79.6255380188825,43.5291054254996
DECID,38,MISS,HONEY LOCUST,-79.6678820293343,43.5291060697162
DECID,41,MISS,HONEY LOCUST,-79.6368526258929,43.5291075543193
MULTI,11,MISS,RUSSIAN OLIVE,-79.6421453655334,43.5291082358692
CONFIR,26,MISS,NORWAY SPRUCE,-79.6751333611098,43.5291084907794
DECID,37,MISS,SILVER MAPLE,-79.6803465268509,43.5291094520767
DECID,5,MISS,FLOWERING CRAB APPLE,-79.6588207753608,43.529111412072
DECID,45,MISS,HONEY LOCUST,-79.6680846922913,43.529113653529
MULTI,11,MISS,RUSSIAN OLIVE,-79.6421300516416,43.5291178684601
CONFIR,40,MISS,DOUGLAS FIR,-79.6346253393529,43.5291183406998
DECID,28,MISS,LINDEN,-79.6744297588518,43.5291230246924
DECID,6,MISS,AUTUMN BLAZE MAPLE,-79.6812852519441,43.529123918602
DECID,32,MISS,HONEY LOCUST,-79.6366765962978,43.5291264347382
MULTI,9,MISS,RUSSIAN OLIVE,-79.642111892203,43.5291274672485
DECID,46,MISS,NORWAY MAPLE,-79.6313677292072,43.5291274677885
MULTI,20,MISS,EASTERN WHITE CEDAR,-79.6365653081005,43.5291334813009
MULTI,24,MISS,NORWAY MAPLE,-79.6564630288929,43.5291345996415
DECID,43,MISS,RED OAK,-79.6254598474553,43.5291363601616
DECID,6,MISS,CHANTICLEER PEAR,-79.665967383014,43.5291375872709
DECID,29,MISS,HONEY LOCUST,-79.6562333924799,43.5291380233506
MULTI,9,MISS,RUSSIAN OLIVE,-79.6420980634429,43.5291426099893
MULTI,25,MISS,WHITE BIRCH,-79.6346564610002,43.5291431135707
DECID,25,MISS,HONEY LOCUST,-79.6624784215359,43.5291438207595
MULTI,12,MISS,RUSSIAN OLIVE,-79.6420842341658,43.529152260209
DECID,40,MISS,LINDEN,-79.6612440459209,43.5291526023777
DECID,33,MISS,NORWAY MAPLE,-79.6378277650709,43.5291527634532
DECID,19,MISS,NORWAY MAPLE,-79.6377181784894,43.5291556895201
DECID,19,MISS,NORWAY MAPLE,-79.6627220434776,43.5291571156926
DECID,32,MISS,SUGAR MAPLE,-79.6638810885782,43.5291579725071
CONFIR,10,MISS,COLORADO BLUE SPRUCE,-79.6349092243063,43.5291623396085
DECID,20,MISS,HONEY LOCUST,-79.6396156191698,43.5291635184415
DECID,5,MISS,FLOWERING CRAB APPLE,-79.6587615416864,43.5291652821083
MULTI,12,MISS,RUSSIAN OLIVE,-79.6420673856338,43.5291696181054
MULTI,35,MISS,BALSAM FIR,-79.634666984409,43.5291703416554
DECID,19,MISS,NORWAY MAPLE,-79.6670116187285,43.5291706578823
DECID,32,MISS,FLOWERING CRAB APPLE,-79.6402543913854,43.5291706679678
DECID,23,MISS,NORWAY MAPLE,-79.6565245384474,43.5291734099736
DECID,36,MISS,HONEY LOCUST,-79.6681583356491,43.5291750192522
DECID,6,MISS,IVORY SILK JAPANESE LILAC,-79.6698673002172,43.5291775386784
DECID,23,MISS,NORWAY SCHWENDLER MAPLE,-79.6662225214198,43.5291786517978
DECID,51,MISS,NORWAY MAPLE,-79.6563168680905,43.5291796131528
DECID,20,MISS,NORWAY MAPLE,-79.65145500639,43.5291798094659
DECID,30,MISS,LINDEN,-79.6415451376688,43.5291812414195
DECID,13,MISS,NORWAY MAPLE,-79.6669230185274,43.5291816002151
MULTI,14,MISS,RUSSIAN OLIVE,-79.6420474703674,43.5291857690343
DECID,6,MISS,IVORY SILK JAPANESE LILAC,-79.6367503553657,43.5291867415464
DECID,79,MISS,WHITE OAK,-79.6399710554869,43.5291901679108
MULTI,20,MISS,AUSTRIAN PINE,-79.6743770457738,43.5291905746819
DECID,35,MISS,NORWAY MAPLE,-79.6315948774675,43.5291958270896
CONFIR,18,MISS,WHITE SPRUCE,-79.6361862046265,43.5291961298744
DECID,22,MISS,NORWAY MAPLE,-79.6400207019306,43.5292002128741
MULTI,15,MISS,RUSSIAN OLIVE,-79.642030674333,43.5292007864776
DECID,8,MISS,NORWAY MAPLE,-79.64863916546,43.5292011224152
DECID,10,MISS,HONEY LOCUST,-79.6627867643366,43.529201992988
MULTI,15,MISS,EASTERN WHITE CEDAR,-79.6346793654798,43.5292029943971
DECID,26,MISS,LINDEN,-79.6613200165078,43.5292035549686
DECID,27,MISS,NORWAY SCHWENDLER MAPLE,-79.6252795827397,43.5292053250266
DECID,6,MISS,ARMSTRONG COLUMNAR RED MAPLE,-79.6637974580442,43.5292072380298
DECID,6,MISS,WHITE ELM,-79.648649614397,43.5292097998496
DECID,21,MISS,HONEY LOCUST,-79.6777707749567,43.5292101589658
